epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,3074.29,0.79218,0.62991,1.24459,0.88951,0.83897,0.91972,0.69156,0.79389,0.50203,1.30819,0.0066835,0.0066835,0.0066835
136,3096.92,0.80549,0.63263,1.25533,0.90179,0.821,0.91728,0.68935,0.79591,0.49927,1.31093,0.00665875,0.00665875,0.00665875
137,3119.56,0.7888,0.6225,1.24182,0.90442,0.82266,0.91764,0.68797,0.79594,0.50117,1.30928,0.006634,0.006634,0.006634
138,3142.19,0.80035,0.6228,1.24892,0.89207,0.83884,0.91645,0.68979,0.79503,0.49583,1.30946,0.00660925,0.00660925,0.00660925
139,3164.82,0.80053,0.62413,1.25228,0.87854,0.84272,0.91565,0.69175,0.79506,0.49722,1.31078,0.0065845,0.0065845,0.0065845
140,3187.46,0.80064,0.62687,1.25283,0.87767,0.84544,0.91514,0.69045,0.7936,0.49815,1.30982,0.00655975,0.00655975,0.00655975
141,3210.11,0.80147,0.62644,1.25456,0.87803,0.83863,0.91256,0.6892,0.79261,0.5005,1.31019,0.006535,0.006535,0.006535
142,3232.73,0.79062,0.62359,1.24595,0.87852,0.84,0.91287,0.68729,0.79165,0.5008,1.30826,0.00651025,0.00651025,0.00651025
143,3255.35,0.79174,0.61311,1.24225,0.88384,0.84139,0.91267,0.68688,0.79047,0.50052,1.30607,0.0064855,0.0064855,0.0064855
144,3277.95,0.79277,0.61501,1.24411,0.88406,0.84079,0.91254,0.68808,0.78816,0.50133,1.30396,0.00646075,0.00646075,0.00646075
145,3300.57,0.79633,0.61986,1.24542,0.87981,0.84401,0.91634,0.69041,0.78602,0.5,1.30302,0.006436,0.006436,0.006436
146,3323.18,0.78219,0.60664,1.23523,0.87762,0.84584,0.91759,0.69384,0.78442,0.49953,1.30162,0.00641125,0.00641125,0.00641125
147,3345.81,0.78642,0.61183,1.24395,0.87534,0.84856,0.91824,0.69412,0.78394,0.49691,1.30387,0.0063865,0.0063865,0.0063865
148,3368.48,0.77998,0.60216,1.23922,0.8759,0.85453,0.91915,0.6936,0.78268,0.49649,1.30287,0.00636175,0.00636175,0.00636175
149,3391.15,0.77128,0.59481,1.23426,0.87286,0.85858,0.92028,0.69176,0.78176,0.49627,1.3017,0.006337,0.006337,0.006337
150,3413.83,0.77477,0.60198,1.23209,0.866,0.86663,0.92009,0.69425,0.7812,0.49531,1.30231,0.00631225,0.00631225,0.00631225
151,3436.47,0.78767,0.60898,1.23763,0.85759,0.8714,0.92103,0.69923,0.77939,0.49319,1.30139,0.0062875,0.0062875,0.0062875
152,3459.14,0.7773,0.59524,1.23443,0.86545,0.86409,0.92092,0.70039,0.77693,0.49262,1.29922,0.00626275,0.00626275,0.00626275
153,3481.81,0.77323,0.5954,1.23266,0.88308,0.85778,0.92194,0.70008,0.77504,0.49159,1.29791,0.006238,0.006238,0.006238
154,3504.42,0.76924,0.60056,1.22946,0.85763,0.87088,0.92203,0.69856,0.77345,0.48958,1.2972,0.00621325,0.00621325,0.00621325
155,3527.05,0.7783,0.5968,1.23285,0.87451,0.85537,0.92016,0.6979,0.77136,0.48724,1.29585,0.0061885,0.0061885,0.0061885
156,3549.69,0.77365,0.60499,1.23149,0.87821,0.85367,0.92034,0.69693,0.77031,0.48515,1.2948,0.00616375,0.00616375,0.00616375
157,3572.32,0.76589,0.59571,1.23416,0.87584,0.8546,0.91954,0.69644,0.76907,0.48579,1.29429,0.006139,0.006139,0.006139
158,3594.92,0.76115,0.57752,1.22378,0.88967,0.84052,0.91954,0.69697,0.76782,0.48473,1.29291,0.00611425,0.00611425,0.00611425
159,3617.62,0.76868,0.59434,1.22364,0.88405,0.85269,0.91884,0.69758,0.768,0.48412,1.29248,0.0060895,0.0060895,0.0060895
160,3640.26,0.76421,0.59277,1.22159,0.87428,0.85983,0.91978,0.69761,0.76731,0.48408,1.29161,0.00606475,0.00606475,0.00606475
161,3662.92,0.76787,0.58523,1.2228,0.87573,0.85872,0.92042,0.69724,0.76693,0.48358,1.29188,0.00604,0.00604,0.00604
162,3685.65,0.76316,0.58525,1.22279,0.83627,0.89348,0.92009,0.69917,0.76589,0.48429,1.29157,0.00601525,0.00601525,0.00601525
163,3708.32,0.75724,0.57866,1.21348,0.8387,0.89387,0.92026,0.69703,0.76458,0.4828,1.28992,0.0059905,0.0059905,0.0059905
164,3730.91,0.76383,0.57818,1.22789,0.85419,0.88396,0.92283,0.7002,0.76178,0.48192,1.2875,0.00596575,0.00596575,0.00596575
165,3753.57,0.75871,0.58516,1.22306,0.86628,0.8757,0.92398,0.7001,0.76031,0.48128,1.28587,0.005941,0.005941,0.005941
166,3776.2,0.74916,0.57158,1.21288,0.92878,0.82297,0.9225,0.69714,0.75877,0.48032,1.28458,0.00591625,0.00591625,0.00591625
167,3798.81,0.75795,0.58714,1.22411,0.92862,0.82071,0.9227,0.69708,0.75676,0.47881,1.28294,0.0058915,0.0058915,0.0058915
168,3821.43,0.74663,0.57607,1.21107,0.92948,0.82195,0.92271,0.69993,0.75571,0.47762,1.28202,0.00586675,0.00586675,0.00586675
169,3844.02,0.75826,0.57912,1.22332,0.9257,0.82159,0.92244,0.70091,0.75431,0.47735,1.28098,0.005842,0.005842,0.005842
170,3866.67,0.75467,0.5738,1.2162,0.86443,0.87796,0.92262,0.7003,0.75333,0.4763,1.28028,0.00581725,0.00581725,0.00581725
171,3889.27,0.7492,0.57964,1.21133,0.92078,0.82667,0.92318,0.7007,0.75286,0.47537,1.27967,0.0057925,0.0057925,0.0057925
172,3911.89,0.75412,0.56438,1.21586,0.91697,0.82659,0.92386,0.70017,0.75182,0.47381,1.27915,0.00576775,0.00576775,0.00576775
173,3934.57,0.74689,0.56678,1.21227,0.91358,0.82693,0.92345,0.69882,0.75113,0.47283,1.27864,0.005743,0.005743,0.005743
174,3957.22,0.75103,0.5759,1.21371,0.91417,0.82833,0.92427,0.69893,0.75023,0.473,1.27773,0.00571825,0.00571825,0.00571825
175,3979.86,0.75135,0.56745,1.21599,0.914,0.83175,0.92375,0.6995,0.74915,0.47341,1.27688,0.0056935,0.0056935,0.0056935
176,4002.48,0.74084,0.56923,1.20739,0.90418,0.83889,0.92286,0.69932,0.7489,0.47268,1.27675,0.00566875,0.00566875,0.00566875
177,4025.14,0.74633,0.56984,1.21121,0.90549,0.83585,0.92146,0.69934,0.7485,0.47159,1.27649,0.005644,0.005644,0.005644
178,4047.77,0.73422,0.55917,1.20199,0.89855,0.83912,0.92109,0.69842,0.74788,0.47136,1.27657,0.00561925,0.00561925,0.00561925
179,4070.39,0.74351,0.5657,1.21042,0.89722,0.83936,0.9213,0.69788,0.7471,0.47097,1.27624,0.0055945,0.0055945,0.0055945
180,4093.06,0.74714,0.56284,1.20597,0.90254,0.83732,0.92182,0.69738,0.74617,0.46979,1.27514,0.00556975,0.00556975,0.00556975
181,4115.7,0.73824,0.56104,1.20992,0.89254,0.84589,0.92209,0.69835,0.74555,0.46906,1.27472,0.005545,0.005545,0.005545
